Query,,Precision,,,Recall,,,F-Measure,,,Average Precision,,,NDCG,,,Latency,
,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50
1,0.7,0.8,0.74,0.010752688172043012,0.02457757296466974,0.05683563748079877,0.021180030257186084,0.04769001490312965,0.10556348074179743,0.7035714285714285,0.7460605777628805,0.7795718593678064,0.45343403736416005,0.4688300279370153,0.5680647872863078,0.0030388832092285156,0.002437114715576172,0.002316713333129883
2,1.0,1.0,0.84,0.01838235294117647,0.03676470588235294,0.07720588235294118,0.03610108303249098,0.07092198581560283,0.1414141414141414,1.0,1.0,0.9622249512801013,0.38685280723454163,0.3426071593918307,0.42060837577001203,0.00502467155456543,0.005003452301025391,0.00464630126953125
3,0.9,0.8,0.78,0.01347305389221557,0.023952095808383235,0.058383233532934134,0.026548672566371685,0.04651162790697675,0.10863509749303621,0.9765432098765433,0.9336196370493972,0.8779462835415618,0.4513997833584274,0.46323056202667184,0.5498770925674199,0.003557443618774414,0.003326892852783203,0.0033953189849853516
4,0.6,0.45,0.36,0.012048192771084338,0.018072289156626505,0.03614457831325301,0.023622047244094488,0.03474903474903475,0.06569343065693431,0.9444444444444445,0.8122275385433281,0.633830727715326,0.43067655807339306,0.43067655807339306,0.2980568324178277,0.0025272369384765625,0.0025441646575927734,0.0023195743560791016
5,0.6,0.6,0.4,0.010033444816053512,0.020066889632107024,0.033444816053511704,0.019736842105263157,0.03883495145631068,0.06172839506172839,0.9583333333333334,0.7876963099679818,0.6687634707274113,0.6666666666666666,0.5375380791117934,0.5220304257505987,0.003045320510864258,0.002744436264038086,0.002950906753540039
6,0.7,0.65,0.6,0.01338432122370937,0.0248565965583174,0.05736137667304015,0.02626641651031895,0.04788213627992633,0.10471204188481675,0.8444444444444443,0.7846920738889065,0.6922950876532039,0.8320131521993808,0.8178058616569117,0.7884934343707494,0.0052454471588134766,0.005259275436401367,0.005032777786254883
7,0.8,0.8,0.66,0.014109347442680775,0.02821869488536155,0.0582010582010582,0.027729636048526865,0.054514480408858604,0.10696920583468394,0.8338789682539682,0.8315945852178439,0.7860879603226335,0.5135507294731864,0.5206309205535675,0.5165383873174675,0.003484010696411133,0.003542661666870117,0.00354766845703125
8,0.7,0.5,0.34,0.011945392491467578,0.017064846416382253,0.02901023890784983,0.023489932885906045,0.033003300330033,0.053459119496855355,0.7857142857142857,0.7322222222222222,0.6296048190133867,0.5317309468254161,0.5317309468254161,0.5317309468254161,0.003348827362060547,0.0033693313598632812,0.0035076141357421875
9,0.8,0.7,0.52,0.014311270125223614,0.025044722719141325,0.046511627906976744,0.0281195079086116,0.048359240069084625,0.08538587848932676,0.9861111111111112,0.8757508573298046,0.7547074419253614,0.9203032077642922,0.9203032077642922,0.8024109130711903,0.001856088638305664,0.0019774436950683594,0.0020973682403564453
